id_commande,date_commande,date_livraison,montant_€,retard_jours,satisfaction_1-5,retard,jour_semaine_commande,mois_commande,fournisseur_BioMedica,fournisseur_ClinLab Services,fournisseur_GlobalMeds,fournisseur_HealthTech Group,fournisseur_MedSupply SAS,fournisseur_PharmOne Europe,fournisseur_PharmaCore,fournisseur_Sanitech,fournisseur_VitalLab,catégorie_achat_Entretien,catégorie_achat_Formation,catégorie_achat_Informatique,catégorie_achat_Logistique,catégorie_achat_Matériel labo,catégorie_achat_Médicaments,catégorie_achat_Services externes,catégorie_achat_Sécurité,catégorie_achat_Équipements médicaux,statut_En cours,statut_Reçu,risque_retard
1000,2025-06-10,2025-06-11,8671.67,0,2.7,0,1,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.5183898662641185
1001,2025-05-14,2025-05-14,1573.48,0,1.6,0,2,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6847327402054053
1002,2025-02-10,2025-02-15,19253.92,0,1.4,0,0,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.5356940599895735
1003,2025-03-29,2025-04-04,7446.93,1,2.4,1,5,3,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.46293334314748313
1004,2025-03-20,2025-03-25,7094.06,0,1.1,0,3,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.482641900429459
1005,2025-02-14,2025-02-18,1151.66,0,2.0,0,4,2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0.4331956260646896
1006,2025-04-05,2025-04-05,9725.02,0,2.5,0,5,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.43490313496339744
1007,2025-05-22,2025-05-22,19570.12,0,2.7,0,3,5,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0.344355966143485
1008,2025-04-04,2025-04-07,10218.52,0,4.3,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.40706724622770046
1009,2025-05-30,2025-06-12,6848.49,8,3.1,1,4,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.5183917422033362
1010,2025-04-22,2025-04-20,7624.9,0,3.7,0,1,4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.4895886577037261
1011,2025-04-07,2025-04-14,16535.84,2,3.1,1,0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.5325980041865491
1012,2025-03-15,2025-03-25,14408.86,5,4.6,1,5,3,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.4152497517307103
1013,2025-04-05,2025-04-07,1449.88,0,4.4,0,5,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.4027143907110143
1014,2025-03-12,2025-03-22,8513.0,5,1.7,1,2,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.64698296200084
1015,2025-02-10,2025-02-11,17830.21,0,2.9,0,0,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.5778862132187358
1016,2025-03-10,2025-03-22,6156.04,7,3.6,1,0,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5075936678198831
1017,2025-02-22,2025-02-26,17183.27,0,3.0,0,5,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.48528230339303613
1018,2025-01-27,2025-02-03,9352.23,2,2.9,1,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.5365135752967409
1019,2025-01-13,2025-01-19,4784.38,1,3.7,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.41640596751151276
1020,2025-02-09,2025-02-14,11853.08,0,1.3,0,6,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.48419899836640407
1021,2025-03-18,2025-03-24,13569.47,1,3.6,1,1,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.5258330673087594
1022,2025-05-28,2025-06-02,15036.95,0,4.4,0,2,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.61586506838298
1023,2025-05-14,2025-05-16,808.57,0,2.2,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.5606398305910439
1024,2025-01-03,2025-01-01,14342.33,0,1.5,0,4,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.6074978646570077
1025,2025-05-07,2025-05-10,5378.63,0,2.0,0,2,5,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.583628291418102
1026,2025-05-23,2025-05-26,13858.7,0,2.3,0,4,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.5862653211021904
1027,2025-02-11,2025-02-23,18357.16,7,1.1,1,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.5272115778909336
1028,2025-02-12,2025-02-19,10657.17,2,2.7,1,2,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.4848276651363588
1029,2025-06-07,2025-06-22,1772.32,10,4.8,1,5,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5624401701026815
1030,2025-05-24,2025-06-01,3640.42,3,4.7,1,5,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.4995310025284793
1031,2025-04-14,2025-04-16,13745.42,0,3.2,0,0,4,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5178559500807557
1032,2025-05-21,2025-05-25,7315.12,0,4.3,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.45302890005574864
1033,2025-06-13,2025-06-11,19614.62,0,1.3,0,4,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5459500487763247
1034,2025-01-10,2025-01-12,7301.36,0,3.9,0,4,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.4710764073731261
1035,2025-01-01,2025-01-10,19615.85,4,3.2,1,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.5145106596949108
1036,2025-03-26,2025-04-06,9981.02,6,1.1,1,2,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.6122637970301645
1037,2025-03-02,2025-03-14,4046.76,7,4.6,1,6,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.43517459201870906
1038,2025-06-11,2025-06-15,11897.02,0,4.5,0,2,6,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0.5475258473283924
1039,2025-01-14,2025-01-14,12360.79,0,3.0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.5915307737878278
1040,2025-05-08,2025-05-18,8712.81,5,2.1,1,3,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.4491637847555108
1041,2025-05-26,2025-05-28,10091.69,0,1.0,0,0,5,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.5485364374053737
1042,2025-06-20,2025-06-28,16710.96,3,4.2,1,4,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.44413258206577194
1043,2025-03-27,2025-04-04,12200.2,3,4.0,1,3,3,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.5277201117317838
1044,2025-03-30,2025-03-29,16786.28,0,2.4,0,6,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0.5138232632505507
